,buy_time,comment_time,days,color,size,content,score,sentiment
275,2020-08-28 00:03:51,2020-08-30 10:10:03,2,14英寸,【7nm】新款E14|R5|16G|512GSSD,运行速度：整体外观看上去还可以，轻薄型，包装简陋，就一根电源线充电器和笔记本，其他什么都没有，电池耗电太快十分钟内能用掉5%的电量，windows应该是盗版的，装了两天一直无法激活，所谓的售后工程师技术服务一塌糊涂，根本解决不了问题，让我下载激活工具，也不行，显示的信息大家看吧，找客服客服说她是售前客服让我找售后的工程师，售后工程师又让我电话给微软，踢来踢去的，最后证明这个系统就是个盗版的，至于电脑其他性能究竟怎样，我还会追评的，第一次遇到卖家这么不负责任的！????,3,0
276,2021-09-23 00:00:33,2021-09-26 08:56:13,3,14英寸,【7nm】2021 E14|R5|16G|512GSSD,暂时很好，等用几天再来追加评价。,5,1
277,2021-08-07 08:50:47,2021-09-12 11:54:53,36,15.6英寸,【7nm】2021 E15|R5|16G|512GSSD,电脑已经收到，自己也保护好了外壳，感谢ThinkPad电脑与服务人员，邮件已经补发，往发送音响,5,0
278,2021-12-09 16:30:51,2021-12-11 22:20:04,2,14英寸,【7nm】2021 E14|R7|16G|512GSSD,笔记本收到了，外观简约大方，开机与运行速度很快，配置性价比高，比较满意。,5,1
279,2021-09-23 00:00:20,2021-09-26 13:25:25,3,14英寸,【7nm】2021 E14|R5|16G|512GSSD,超级好用的笔记本电脑，强烈推荐,5,1
280,2021-08-27 00:15:54,2021-08-31 09:57:11,4,15.6英寸,【7nm】新款E15|R7|16G|512GSSD,搞活动买的，外观和描述一致，美观实用，材质手感都不错，好评！客服服务态度很好~,5,1
281,2021-09-14 17:10:46,2021-11-03 15:00:15,50,14英寸,【7nm】2021 E14|R5|16G|512GSSD,性价比高 性能稳定。,5,1
282,2021-12-09 00:00:05,2021-12-15 08:05:17,6,14英寸,【7nm】2021 E14|R7|16G|512GSSD,小红帽设计颜值高，大小也刚刚合适，用来办公的，体验感非常好，爱了爱了！,5,1
283,2021-10-08 08:53:42,2021-10-09 18:19:41,1,14英寸,【7nm】2021 E14|R5|16G|512GSSD,电脑运行速度快，外观好看,5,1
284,2021-09-21 10:23:50,2021-10-04 12:50:46,13,14英寸,【7nm】2021 E14|R5|16G|512GSSD,挺好的，适合大家，，！！,5,1
285,2021-08-27 23:07:20,2021-08-31 08:01:21,4,15.6英寸,【7nm】新款E15|R7|16G|512GSSD,运行速度：速度很快，非常流畅轻薄程度：很轻薄，携带方便屏幕效果：15寸屏幕大，看视频很爽,5,1
286,2021-08-13 15:03:58,2021-08-30 15:11:44,17,15.6英寸,【7nm】2021 E15|R5|16G|512GSSD,公司使用，舒适流畅！赠送的软件是家庭版，是小小的遗憾。愿联想ThinkPad系列越来越好！,5,1
